Movie-Title,rating,Director_stars
Beethoven,5.7,"Director:Brian Levant,  Stars:Charles Grodin, Bonnie Hunt, Dean Jones, Nicholle Tom"
The Wolf of Wall Street,8.2,"Director:Martin Scorsese,  Stars:Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey"
Saw,7.6,"Director:James Wan,  Stars:Cary Elwes, Leigh Whannell, Danny Glover, Ken Leung"
French Exit,6.0,"Director:Azazel Jacobs,  Stars:Michelle Pfeiffer, Lucas Hedges, Tracy Letts, Valerie Mahaffey"
Schindler's List,8.9,"Director:Steven Spielberg,  Stars:Liam Neeson, Ralph Fiennes, Ben Kingsley, Caroline Goodall"
The Killing of Two Lovers,7.0,"Director:Robert Machoian,  Stars:Chris Coy, Clayne Crawford, Arri Graham, Bruce Graham"
Deadpool 2,7.7,"Director:David Leitch,  Stars:Ryan Reynolds, Josh Brolin, Morena Baccarin, Julian Dennison"
Arrival,7.9,"Director:Denis Villeneuve,  Stars:Amy Adams, Jeremy Renner, Forest Whitaker, Michael Stuhlbarg"
Mad Max: Fury Road,8.1,"Director:George Miller,  Stars:Tom Hardy, Charlize Theron, Nicholas Hoult, Zoë Kravitz"
The Trial of the Chicago 7,7.8,"Director:Aaron Sorkin,  Stars:Eddie Redmayne, Alex Sharp, Sacha Baron Cohen, Jeremy Strong"
Top Gun,6.9,"Director:Tony Scott,  Stars:Tom Cruise, Tim Robbins, Kelly McGillis, Val Kilmer"
Mission: Impossible - Fallout,7.7,"Director:Christopher McQuarrie,  Stars:Tom Cruise, Henry Cavill, Ving Rhames, Simon Pegg"
Profile,7.0,"Director:Timur Bekmambetov,  Stars:Valene Kane, Morgan Watkins, Christine Adams, Kate Watson"
Heat,8.2,"Director:Michael Mann,  Stars:Al Pacino, Robert De Niro, Val Kilmer, Jon Voight"
Suicide Squad,5.9,"Director:David Ayer,  Stars:Will Smith, Jared Leto, Margot Robbie, Viola Davis"
300,7.6,"Director:Zack Snyder,  Stars:Gerard Butler, Lena Headey, David Wenham, Dominic West"
Saving Private Ryan,8.6,"Director:Steven Spielberg,  Stars:Tom Hanks, Matt Damon, Tom Sizemore, Edward Burns"
Honest Thief,6.0,"Director:Mark Williams,  Stars:Liam Neeson, Kate Walsh, Jai Courtney, Jeffrey Donovan"
Almost Famous,7.9,"Director:Cameron Crowe,  Stars:Billy Crudup, Patrick Fugit, Kate Hudson, Frances McDormand"
Django Unchained,8.4,"Director:Quentin Tarantino,  Stars:Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington"
1917,8.3,"Director:Sam Mendes,  Stars:Dean-Charles Chapman, George MacKay, Daniel Mays, Colin Firth"
The Greatest Showman,7.6,"Director:Michael Gracey,  Stars:Hugh Jackman, Michelle Williams, Zac Efron, Zendaya"
It,7.3,"Director:Andy Muschietti,  Stars:Bill Skarsgård, Jaeden Martell, Finn Wolfhard, Sophia Lillis"
Pitch Perfect,7.1,"Director:Jason Moore,  Stars:Anna Kendrick, Brittany Snow, Rebel Wilson, Anna Camp"
Watchmen,7.6,"Director:Zack Snyder,  Stars:Jackie Earle Haley, Patrick Wilson, Carla Gugino, Malin Akerman"
After,5.3,"Director:Jenny Gage,  Stars:Josephine Langford, Hero Fiennes Tiffin, Khadijha Red Thunder, Dylan Arnold"
El baile de los 41,6.9,"Director:David Pablos,  Stars:Alfonso Herrera, Emiliano Zurita, Mabel Cadena, Fernando Becerril"
Se7en,8.6,"Director:David Fincher,  Stars:Morgan Freeman, Brad Pitt, Kevin Spacey, Andrew Kevin Walker"
The Fast and the Furious,6.8,"Director:Rob Cohen,  Stars:Vin Diesel, Paul Walker, Michelle Rodriguez, Jordana Brewster"
Shutter Island,8.2,"Director:Martin Scorsese,  Stars:Leonardo DiCaprio, Emily Mortimer, Mark Ruffalo, Ben Kingsley"
No Country for Old Men,8.1,"Directors:Ethan Coen, Joel Coen,  Stars:Tommy Lee Jones, Javier Bardem, Josh Brolin, Woody Harrelson"
Four Good Days,6.3,"Director:Rodrigo García,  Stars:Mila Kunis, Carla Gallo, Glenn Close, Stephen Root"
Fantastic Beasts and Where to Find Them,7.3,"Director:David Yates,  Stars:Eddie Redmayne, Katherine Waterston, Alison Sudol, Dan Fogler"
The Whole Truth,6.2,"Director:Courtney Hunt,  Stars:Keanu Reeves, Renée Zellweger, Gugu Mbatha-Raw, Gabriel Basso"
Judgment at Nuremberg,8.2,"Director:Stanley Kramer,  Stars:Spencer Tracy, Burt Lancaster, Richard Widmark, Marlene Dietrich"
Moneyball,7.6,"Director:Bennett Miller,  Stars:Brad Pitt, Robin Wright, Jonah Hill, Philip Seymour Hoffman"
Aliens,8.3,"Director:James Cameron,  Stars:Sigourney Weaver, Michael Biehn, Carrie Henn, Paul Reiser"
Scott Pilgrim vs. the World,7.5,"Director:Edgar Wright,  Stars:Michael Cera, Mary Elizabeth Winstead, Kieran Culkin, Anna Kendrick"
News of the World,6.8,"Director:Paul Greengrass,  Stars:Tom Hanks, Helena Zengel, Tom Astor, Travis Johnson"
The Dark Knight Rises,8.4,"Director:Christopher Nolan,  Stars:Christian Bale, Tom Hardy, Anne Hathaway, Gary Oldman"
Unhinged,6.0,"Director:Derrick Borte,  Stars:Russell Crowe, Caren Pistorius, Gabriel Bateman, Jimmi Simpson"
Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,6.1,"Director:Cathy Yan,  Stars:Margot Robbie, Rosie Perez, Mary Elizabeth Winstead, Jurnee Smollett"
Gone Girl,8.1,"Director:David Fincher,  Stars:Ben Affleck, Rosamund Pike, Neil Patrick Harris, Tyler Perry"
Hereditary,7.3,"Director:Ari Aster,  Stars:Toni Collette, Milly Shapiro, Gabriel Byrne, Alex Wolff"
The Conjuring,7.5,"Director:James Wan,  Stars:Patrick Wilson, Vera Farmiga, Ron Livingston, Lili Taylor"
John Wick,7.4,"Directors:Chad Stahelski, David Leitch,  Stars:Keanu Reeves, Michael Nyqvist, Alfie Allen, Willem Dafoe"
Léon,8.5,"Director:Luc Besson,  Stars:Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello"
Enola Holmes,6.6,"Director:Harry Bradbeer,  Stars:Millie Bobby Brown, Henry Cavill, Sam Claflin, Helena Bonham Carter"
Rare Beasts,5.9,"Director:Billie Piper,  Stars:Billie Piper, Leo Bill, Kerry Fox, Toby Woolf"
G.I. Joe: Retaliation,5.8,"Director:Jon M. Chu,  Stars:Dwayne Johnson, Channing Tatum, Adrianne Palicki, Lee Byung-hun"
The Princess Bride,8.1,"Director:Rob Reiner,  Stars:Cary Elwes, Mandy Patinkin, Robin Wright, Chris Sarandon"
Justice League,6.1,"Director:Zack Snyder,  Stars:Ben Affleck, Gal Gadot, Jason Momoa, Ezra Miller"
American Pie,7.0,"Directors:Paul Weitz, Chris Weitz,  Stars:Jason Biggs, Chris Klein, Thomas Ian Nicholas, Jennifer Coolidge"
Green Book,8.2,"Director:Peter Farrelly,  Stars:Viggo Mortensen, Mahershala Ali, Linda Cardellini, Sebastian Maniscalco"
The Interpreter,6.4,"Director:Sydney Pollack,  Stars:Nicole Kidman, Sean Penn, Catherine Keener, Jesper Christensen"
Spider-Man: Into the Spider-Verse,8.4,"Directors:Bob Persichetti, Peter Ramsey, Rodney Rothman,  Stars:Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali"
Monster Hunter,5.3,"Director:Paul W.S. Anderson,  Stars:Milla Jovovich, Tony Jaa, Ron Perlman, T.I."
The Fifth Element,7.7,"Director:Luc Besson,  Stars:Bruce Willis, Milla Jovovich, Gary Oldman, Ian Holm"
Requiem for a Dream,8.3,"Director:Darren Aronofsky,  Stars:Ellen Burstyn, Jared Leto, Jennifer Connelly, Marlon Wayans"
Pride & Prejudice,7.8,"Director:Joe Wright,  Stars:Keira Knightley, Matthew Macfadyen, Brenda Blethyn, Donald Sutherland"
Mystic River,7.9,"Director:Clint Eastwood,  Stars:Sean Penn, Tim Robbins, Kevin Bacon, Emmy Rossum"
American Beauty,8.3,"Director:Sam Mendes,  Stars:Kevin Spacey, Annette Bening, Thora Birch, Wes Bentley"
The Breakfast Club,7.8,"Director:John Hughes,  Stars:Emilio Estevez, Judd Nelson, Molly Ringwald, Ally Sheedy"
Twister,6.4,"Director:Jan de Bont,  Stars:Helen Hunt, Bill Paxton, Cary Elwes, Jami Gertz"
Dunkirk,7.8,"Director:Christopher Nolan,  Stars:Fionn Whitehead, Barry Keoghan, Mark Rylance, Tom Hardy"
Jaws,8.0,"Director:Steven Spielberg,  Stars:Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary"
The Lighthouse,7.5,"Director:Robert Eggers,  Stars:Robert Pattinson, Willem Dafoe, Valeriia Karaman, Logan Hawkes"
Taxi Driver,8.3,"Director:Martin Scorsese,  Stars:Robert De Niro, Jodie Foster, Cybill Shepherd, Albert Brooks"
Star Wars,8.6,"Director:George Lucas,  Stars:Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guinness"
Superbad,7.6,"Director:Greg Mottola,  Stars:Michael Cera, Jonah Hill, Christopher Mintz-Plasse, Bill Hader"
Little Women,7.8,"Director:Greta Gerwig,  Stars:Saoirse Ronan, Emma Watson, Florence Pugh, Eliza Scanlen"
